"TP1_1" "TP1_2" "TP1_3" "TP1_4" "TP1_5" "TP2_1" "TP2_2" "TP2_3" "TP2_4" "TP2_5" "TP3_1" "TP3_2" "TP3_3" "TP3_4" "TP3_5" "TP4_1" "TP4_2" "TP4_3" "TP4_4" "TP4_5"
"gene_8235" 1118 1270 1349 1689 1316 1936 1921 1848 1732 2329 2484 1637 1915 1985 2357 2361 1933 2053 1876 2126
"gene_8236" 4113 4154 4444 4892 4180 4477 3629 4650 3338 4627 4317 4226 6290 6502 6630 4573 3992 3646 4772 4148
"gene_8237" 4316 4175 4384 4205 4190 3843 3447 4212 3985 3899 4123 3723 3641 3024 3787 6149 4023 6638 6799 6364
"gene_8238" 253 263 166 226 230 132 95 153 174 71 190 210 182 239 187 120 139 111 174 137
"gene_8239" 919 588 437 612 618 359 302 287 405 445 176 393 233 324 207 133 120 124 91 63
"gene_8240" 28 31 14 20 21 117 80 138 110 114 16 2 4 8 2 45 23 11 14 31
"gene_8241" 104 105 253 159 121 286 262 214 227 312 219 169 200 157 276 230 225 190 123 171
"gene_8242" 5 17 23 9 13 16 3 3 15 1 18 6 19 9 20 23 48 12 32 24
"gene_8243" 12 0 6 8 4 0 0 0 0 0 0 0 0 0 0 4 0 5 14 3
"gene_8244" 431 552 491 485 339 555 488 596 590 497 743 733 740 706 512 720 784 763 821 676
"gene_8245" 120 89 113 127 143 201 112 198 119 169 112 85 49 131 113 55 59 31 75 56
"gene_8246" 2486 2608 2145 2095 2279 1615 1458 1405 1649 1122 1422 1223 1624 1441 1222 3349 2915 2415 2832 3334
"gene_8247" 3844 3869 5213 4274 4295 2137 2995 2753 2579 3543 4108 3695 4655 2918 4130 3541 3766 3867 3893 4636
"gene_8248" 393 307 181 318 187 124 304 125 246 164 278 428 474 443 377 199 361 481 404 458
"gene_8249" 3612 3488 3950 4368 3277 2963 2306 2878 3391 3891 3417 3248 3382 3154 3418 2666 1604 3743 2833 2504
"gene_8250" 449 453 320 556 531 448 382 454 383 434 342 441 604 408 428 323 529 481 283 413
"gene_8251" 1854 1584 1737 1808 1589 2596 1969 2140 2039 1866 1176 1346 1090 1105 1199 1117 1329 1139 1061 1346
"gene_8252" 7223 7700 7535 8166 6309 7466 8084 8280 7704 7902 9471 8785 8541 6574 8800 6435 6202 6367 5994 5514
"gene_8253" 2411 2390 2336 2623 2254 2654 2604 2862 2569 2928 2716 2556 2495 3072 2816 1591 2679 1955 2111 2906
"gene_8254" 618 534 648 617 677 439 393 505 358 441 488 466 521 411 437 472 421 448 530 483
"gene_8255" 435 506 417 435 402 554 429 578 699 532 866 866 925 789 923 546 550 565 455 640
"gene_8256" 924 870 765 1160 952 995 822 716 1099 811 433 390 671 931 623 498 628 413 563 376
"gene_8257" 133 130 202 172 201 246 330 237 304 485 708 497 455 641 509 486 477 398 443 414
"gene_8258" 344 349 257 358 456 312 278 486 447 321 320 439 476 322 515 541 484 760 468 530
"gene_8259" 146 167 150 189 209 96 13 44 42 82 125 194 207 213 262 63 35 59 81 82
"gene_8260" 16 24 32 6 6 0 10 6 4 1 24 20 23 37 14 0 0 0 0 0
"gene_8261" 3861 3963 3276 3545 3477 10227 6313 9082 7946 9821 4454 7152 5061 5068 5700 3491 4097 3411 3483 3235
"gene_8262" 162 319 217 278 226 170 168 173 129 108 124 121 98 116 117 242 226 167 193 116
"gene_8263" 1390 1428 1181 1109 1192 1194 1726 1037 1099 1115 1310 1324 1110 1351 1407 1016 899 838 762 654
"gene_8264" 2159 2180 2384 2768 2140 3838 2993 3645 2747 2781 1889 2243 2136 2510 2612 3802 3648 3105 3407 3697
"gene_8265" 918 552 955 562 725 718 904 743 563 523 1111 881 686 1075 888 784 651 719 813 680
"gene_8266" 407 345 416 329 451 295 239 268 185 375 312 293 515 521 430 174 130 123 115 159
"gene_8267" 1137 1349 1551 1212 1280 1462 1819 1695 1462 1676 738 847 744 861 813 2837 2008 2483 2115 1776
"gene_8268" 68 22 41 33 29 74 101 151 99 154 64 81 107 86 73 230 149 180 255 108
"gene_8269" 1119 1098 1023 1229 1135 1718 1719 1370 1981 1521 1487 1472 1395 1906 1800 2039 1986 1644 1380 1465
"gene_8270" 288 435 347 550 269 222 135 210 292 216 205 176 281 325 263 188 142 236 178 287
"gene_8271" 1873 2398 2835 2193 2253 1365 951 1225 1222 1272 745 475 583 587 634 1615 1545 1634 1129 1581
"gene_8272" 463 389 615 491 333 290 151 439 273 462 465 501 485 374 375 625 421 563 407 594
"gene_8273" 343 300 353 213 202 257 290 287 202 261 239 124 127 272 327 273 221 289 221 273
"gene_8274" 5335 6758 6441 6364 7123 4844 6121 5646 5106 4522 6487 5240 5273 5711 5305 6791 6139 6871 6589 6370
"gene_8275" 12 37 15 12 10 59 66 34 60 30 9 16 8 16 6 23 38 30 22 20
"gene_8276" 756 743 646 529 710 814 370 593 870 547 711 627 545 586 835 476 559 469 494 583
"gene_8277" 30 75 100 101 81 170 169 88 106 121 52 21 23 21 31 68 86 55 81 48
"gene_8278" 602 874 646 567 700 796 689 605 1263 807 768 753 1018 729 751 1121 1122 1724 1134 1244
"gene_8279" 355 552 562 415 495 1073 808 956 746 936 436 537 626 446 828 376 335 632 434 311
"gene_8280" 2616 2278 2951 2492 2882 2383 2158 2007 2196 2474 1488 1944 1848 2230 1537 2376 2042 1680 2273 1591
"gene_8281" 285 359 313 284 280 72 101 94 84 78 55 44 61 41 93 133 125 190 163 103
"gene_8282" 187 263 142 220 175 470 245 207 221 212 259 209 206 195 198 233 220 269 295 181
"gene_8283" 79 124 64 116 79 95 155 97 135 113 22 53 85 89 40 29 47 36 74 38
"gene_8284" 170 137 150 166 157 151 169 157 230 138 107 200 173 154 155 41 94 61 38 138
"gene_8285" 793 1009 560 562 633 1036 835 697 766 1218 651 398 762 538 633 622 930 862 663 835
"gene_8286" 264 166 319 138 291 265 317 237 252 297 204 127 75 282 188 174 237 80 159 196
"gene_8287" 2 1 3 0 3 11 0 8 0 0 12 3 3 11 8 0 0 0 0 0
"gene_8288" 452 542 377 481 506 388 633 590 513 583 393 700 711 341 648 468 455 472 198 517
"gene_8289" 112 94 76 39 25 35 23 20 30 44 86 35 72 75 26 23 43 29 14 69
"gene_8290" 9 4 3 0 5 27 33 27 40 33 13 16 60 9 8 10 32 20 21 20
"gene_8291" 1667 1471 1721 2066 1991 1445 1732 1570 1548 2019 2539 3548 2507 3182 2278 1539 1623 1225 1199 1296
"gene_8292" 38 24 23 30 21 83 48 54 33 77 21 77 69 56 98 80 70 89 89 96
"gene_8293" 6060 6646 8192 6318 7898 4989 4834 5444 6522 5230 9977 6632 8752 6356 10473 6016 6419 7374 6101 6007
"gene_8294" 642 545 455 912 877 786 739 963 1419 637 1289 924 1257 1175 986 1050 885 816 1088 982
"gene_8295" 299 304 222 242 371 105 157 142 64 141 331 371 507 489 363 62 147 95 107 103
"gene_8296" 11028 11117 10741 12507 11493 11942 13206 9361 11019 15276 11926 11426 11318 11568 13736 14267 13310 12233 14398 14828
"gene_8297" 6733 6457 6175 7825 6622 4026 3618 3327 3396 4297 5243 4649 5068 5491 5963 6314 6660 8089 6413 6731
"gene_8298" 23 33 25 26 58 31 49 21 72 62 56 35 24 38 21 16 56 66 92 42
"gene_8299" 835 818 687 757 773 307 420 382 382 207 790 615 759 637 886 215 347 131 247 77
"gene_8300" 4229 4437 4691 3801 4417 4507 4984 4266 3969 3829 4219 4390 4222 4053 4428 3775 5490 4470 5077 5288
"gene_8301" 4132 9287 4557 4619 4172 6166 4736 5597 5940 4747 7754 7438 8833 6917 7739 4503 4875 4447 4305 5023
"gene_8302" 670 842 627 911 611 708 745 977 759 805 1310 1205 628 993 1002 1874 2319 2520 1951 1770
"gene_8303" 3579 4758 4927 4122 3103 2708 3234 2997 3132 2866 2789 2388 2782 2502 2139 3632 3762 2312 3233 3576
"gene_8304" 2038 2626 1967 1935 1839 3031 2981 3200 3472 2793 2054 2477 2159 2922 2380 1721 1468 1431 1858 1466
"gene_8305" 0 0 0 0 0 4 6 8 2 12 0 0 0 0 0 12 17 2 6 18
"gene_8306" 2390 3108 2818 3164 2722 2922 2466 2737 3886 3001 4311 3046 3312 3277 3611 2935 3843 2762 1830 2990
"gene_8307" 3438 3319 3078 3851 3843 4387 3705 3334 4115 3122 2012 2437 2648 2432 2488 6178 6260 6214 5253 6142
"gene_8308" 3348 3598 3077 3017 2603 4072 4106 4580 4025 4854 3365 4095 4885 5724 2480 4015 3738 3142 2536 5078
"gene_8309" 1203 1372 1129 1417 1342 918 953 780 942 963 823 1160 1320 1244 1208 1202 1690 1122 1388 1216
"gene_8310" 341 244 267 304 263 188 103 323 238 148 171 180 226 230 194 387 601 262 212 367
"gene_8311" 5032 5339 4642 5668 5114 5378 5479 5261 6030 4904 3184 5023 4735 5372 4420 4614 4171 4369 3593 5029
"gene_8312" 256 116 298 247 173 434 227 288 129 191 65 150 169 97 103 212 147 211 181 249
"gene_8313" 491 675 657 533 666 835 687 643 1047 839 1323 1367 1363 1268 1229 605 670 620 581 486
"gene_8314" 242 270 289 220 225 474 421 416 435 310 705 885 1143 743 407 759 820 752 555 880
"gene_8315" 16 12 17 9 11 88 84 127 110 81 101 116 74 32 60 14 37 36 32 30
"gene_8316" 1835 1552 1226 1597 1377 1499 1489 1814 1703 2008 1526 1144 1744 1786 1492 1115 1406 1371 1170 1324
"gene_8317" 666 567 661 564 604 1052 707 720 637 591 660 684 516 625 537 827 1054 918 767 842
"gene_8318" 747 725 992 1062 788 1045 875 675 1097 854 1165 1303 1152 998 878 1764 1305 1220 1111 1486
"gene_8319" 3019 3243 3143 2966 2621 2671 3002 3529 4316 2731 2900 2582 2605 3243 3172 2296 3684 3675 3708 3052
"gene_8320" 2748 2751 2520 2888 2669 3328 3233 3482 3568 2536 1536 1926 1984 2952 2985 2355 2382 2655 2204 2556
"gene_8321" 1744 1179 1501 1453 1548 1454 1463 1545 1529 1384 842 997 868 1055 1070 1611 1787 1829 1361 1611
"gene_8322" 4 7 8 2 2 2 3 0 7 2 4 0 0 0 2 29 30 12 39 67
"gene_8323" 1030 1635 1919 1824 1520 1226 1649 988 1023 1215 1592 2359 1937 1851 1933 2456 2240 2969 3431 2246
"gene_8324" 3006 3333 4103 3348 3155 2057 1795 1948 1977 1700 1275 1693 1618 1918 1937 3537 3426 3566 3291 3001
"gene_8325" 46 34 34 27 42 81 87 118 83 135 149 145 128 132 108 79 91 131 66 116
"gene_8326" 159 99 59 59 250 145 85 300 219 171 95 77 75 73 86 332 268 159 302 268
"gene_8327" 2652 2002 2577 2453 3382 3740 2701 2721 2305 2349 4072 2775 2622 2498 2250 3352 2894 3888 3728 3011
"gene_8328" 0 0 0 0 0 0 0 0 0 0 0 6 2 6 1 0 0 0 0 0
"gene_8329" 1468 1433 1462 1296 1454 1675 1287 1395 1743 1728 1516 2678 1607 1664 1649 1059 1012 971 1055 1113
"gene_8330" 82 100 232 58 144 45 120 122 82 124 45 85 14 70 54 47 71 100 55 81
"gene_8331" 1024 753 619 723 935 867 1029 989 1075 1084 1159 1240 1525 1440 1101 842 624 575 824 490
"gene_8332" 610 547 1051 724 649 814 706 778 858 622 690 752 708 561 487 448 485 317 416 312
"gene_8333" 2759 2893 3101 2660 2384 2045 2670 3283 2995 2563 1784 2271 2316 1909 2518 2363 1924 2717 2097 2198
"gene_8334" 7954 7919 9053 8310 5816 9297 10050 10631 10349 9864 10723 8972 9040 10613 8516 7548 9628 5355 9031 9349
"gene_8335" 200 144 260 225 175 144 205 200 171 250 192 137 226 133 175 112 88 92 135 176
"gene_8336" 4117 3358 3097 3593 3072 3975 3569 2280 4161 3287 4521 4012 4986 5521 4395 3259 2550 2978 3120 2671
"gene_8337" 376 370 288 389 286 374 458 383 338 402 630 466 248 554 466 535 558 451 233 384
"gene_8338" 3345 5511 4122 5870 5891 4878 5989 4967 5560 7076 7099 5987 7155 7019 6823 6381 5608 3904 5947 4166
"gene_8339" 1940 2521 2707 2733 4112 2954 3818 3436 2745 2903 2855 2910 2901 2780 2896 1910 1985 2781 2734 2739
"gene_8340" 748 885 697 755 653 1348 1338 1518 1531 1484 1040 860 1206 1094 924 379 397 385 368 491
"gene_8341" 2931 2888 2950 2655 2838 1774 1746 2281 2365 1998 3819 4042 3995 2556 2998 2840 3316 3077 3159 3005
"gene_8342" 74 126 139 71 177 24 78 78 30 65 184 278 230 340 117 74 58 39 47 85
"gene_8343" 154 141 143 113 122 104 70 77 83 70 204 105 141 232 122 114 76 105 94 87
"gene_8344" 0 0 0 0 0 17 23 26 10 5 2 16 31 9 14 0 0 0 0 0
"gene_8345" 100 75 61 51 87 80 67 54 57 56 9 15 12 20 12 2 1 1 4 1
"gene_8346" 879 728 937 929 690 790 594 567 867 957 1069 495 1070 570 694 829 643 685 949 811
"gene_8347" 1555 1512 1410 1796 1683 1717 1176 958 1202 1409 1583 2002 2213 2223 1876 2524 1952 3006 2259 1865
"gene_8348" 5772 6384 4678 5853 4932 5914 4347 4993 3909 5338 3378 3049 2708 3487 2826 4437 4585 4639 5303 4564
"gene_8349" 120 200 89 212 282 602 365 450 425 289 374 226 158 213 181 324 383 370 359 328
"gene_8350" 4138 3963 3872 4339 4006 3368 4105 2742 3727 3082 2993 4109 2702 2628 3197 2631 2005 3223 2811 1863
"gene_8351" 2047 1932 1586 1280 2110 1498 1714 1426 1468 1483 1530 1366 1476 1304 1281 1389 1212 1617 1241 1578
"gene_8352" 33 75 100 59 72 54 60 62 27 12 77 142 98 154 211 73 50 147 63 74
"gene_8353" 21 14 11 26 8 1 1 6 2 8 10 43 19 16 9 4 15 15 18 9
"gene_8354" 314 349 264 241 313 587 445 386 608 546 744 560 562 719 573 980 748 881 1038 1439
"gene_8355" 630 690 460 673 561 297 280 439 322 359 419 448 424 355 339 358 304 450 370 502
"gene_8356" 18 13 9 2 2 20 81 31 35 84 29 57 41 14 12 73 55 55 113 52
"gene_8357" 0 0 0 0 0 0 0 0 0 0 1 0 2 8 2 0 0 0 0 0
"gene_8358" 156 197 266 130 253 80 127 128 111 100 46 95 66 104 49 214 281 220 259 188
"gene_8359" 2993 3018 3486 3566 3078 2669 2667 2465 2522 2684 3207 2805 1852 2158 2180 2783 2720 2828 2478 2755
"gene_8360" 3354 4073 2999 3318 3293 4950 3856 2804 3457 4030 4668 4455 3249 3252 3034 2278 3148 2515 2356 2259
"gene_8361" 0 0 0 0 0 5 6 14 18 0 10 0 2 5 0 16 11 27 12 22
"gene_8362" 7254 8273 5835 5793 6613 6293 6235 5737 6384 7563 6772 7454 7648 7164 8446 6975 7865 7087 6466 5571
"gene_8363" 154 201 145 131 155 77 60 77 72 69 168 135 327 144 167 166 100 224 113 177
"gene_8364" 468 406 561 706 369 557 885 479 1002 769 419 515 338 280 445 182 641 284 306 534
"gene_8365" 57 115 59 33 93 29 29 37 34 21 83 89 70 87 104 28 77 48 28 39
"gene_8366" 16 12 15 6 19 7 12 3 3 8 25 18 29 37 29 18 18 25 37 8
"gene_8367" 225 274 544 284 293 359 300 372 198 272 292 398 366 375 290 403 290 334 349 358
"gene_8368" 334 626 491 612 626 749 338 513 513 693 212 238 290 364 388 483 549 481 539 487
"gene_8369" 766 757 774 588 577 759 681 912 871 746 928 682 758 863 945 1222 1372 1383 1146 1068
"gene_8370" 454 696 603 771 369 453 391 310 554 366 256 301 346 308 517 355 275 259 209 363
"gene_8371" 12176 7991 10551 10345 8741 9383 10220 11847 13832 8240 10327 11958 13403 12806 14658 8239 10447 15464 12244 11571
"gene_8372" 14624 11486 9873 10802 9456 10629 10357 14237 11392 11222 9581 11359 9828 11512 12196 8501 9355 8499 9278 9537
"gene_8373" 3200 3189 2445 3474 2952 2497 2098 2550 2028 1761 1943 3190 2858 3304 2913 3365 3822 3454 3824 3449
"gene_8374" 772 539 590 681 609 928 1142 999 1032 1143 1749 1257 1017 1320 1402 1131 1365 952 1242 706
"gene_8375" 381 319 183 379 273 397 298 310 459 380 198 168 187 152 219 326 227 260 224 268
"gene_8376" 2211 2505 2759 2346 2890 3744 3647 3040 2550 3310 2200 1619 2279 1837 1872 3568 3818 4384 3942 3932
"gene_8377" 932 920 1033 1158 906 1073 740 706 692 814 967 978 847 980 887 1055 1133 1050 1077 1149
"gene_8378" 7126 9764 6490 5387 8135 9119 5965 7188 8128 7567 5620 6298 7406 6185 7118 7039 7354 6356 6962 4991
"gene_8379" 84 102 67 128 87 139 69 109 75 57 71 97 84 131 80 122 206 177 174 149
"gene_8380" 103 32 42 89 25 54 36 49 16 66 34 64 16 24 29 33 23 43 11 42
"gene_8381" 1806 1892 1904 2140 1914 2087 2099 2329 2063 2248 2437 2375 2067 2400 1956 2545 2182 2680 2741 1978
"gene_8382" 107 60 133 100 121 120 101 154 85 171 256 241 256 389 265 367 321 241 454 468
"gene_8383" 5448 4228 5106 4856 5512 3562 3699 3476 4522 4156 3379 3982 3916 3609 3469 4868 3385 3950 3551 3433
"gene_8384" 8 17 20 8 4 6 2 11 17 34 1 1 0 8 1 2 5 9 5 3
"gene_8385" 756 968 1052 1009 1115 823 549 895 613 976 678 585 589 815 511 1094 789 1054 1045 688
"gene_8386" 263 255 317 304 261 654 526 450 456 582 389 469 346 469 388 397 363 249 263 475
"gene_8387" 405 405 656 349 227 731 638 565 810 813 300 363 545 347 337 654 779 791 890 543
"gene_8388" 6 2 0 2 8 19 21 25 29 18 5 6 25 17 13 54 77 46 26 58
"gene_8389" 2007 1804 2107 1480 2363 1998 1573 1628 1601 2014 2752 2941 3343 2772 2755 2039 2169 2166 2347 2424
"gene_8390" 445 382 210 322 395 506 341 354 312 462 143 345 231 189 134 180 140 181 200 208
"gene_8391" 1 12 8 2 4 7 6 9 6 18 4 16 7 18 14 49 17 15 25 38
"gene_8392" 4553 6796 7324 3865 5971 6402 7058 7361 6141 7404 4751 5344 5385 4170 5032 7138 7588 6265 6082 7139
"gene_8393" 49 96 151 161 198 241 255 214 254 164 369 559 435 379 458 140 192 210 147 193
"gene_8394" 865 746 871 885 1032 1005 964 821 742 613 1056 1227 1110 994 1002 1120 1272 1092 934 1031
"gene_8395" 18 26 62 38 38 4 8 15 9 10 36 23 10 25 8 10 11 13 5 21
"gene_8396" 103 148 156 203 257 157 150 231 311 310 375 241 379 348 304 366 255 295 276 239
"gene_8397" 522 563 146 186 353 243 205 214 186 128 300 165 197 150 167 73 77 93 97 85
"gene_8398" 6345 6506 5708 6170 7070 5769 6452 5545 7905 7272 3677 6171 5220 5055 5581 6097 5504 5770 4373 6434
"gene_8399" 4978 4016 4406 4367 4642 4206 5705 4213 4598 4155 4534 3319 4156 4846 4847 5620 4941 5534 4534 5152
"gene_8400" 4506 4574 5095 4634 4694 5209 6714 5154 6038 6009 5934 6407 4564 5985 5927 6501 5380 6524 5588 6924
"gene_8401" 6 8 2 6 2 10 5 3 11 1 8 22 10 29 24 18 19 14 12 25
"gene_8402" 5087 4329 4169 3925 4157 4720 4160 5280 4478 4787 4364 4682 4676 5237 3471 3769 5218 5571 5554 6404
"gene_8403" 21662 22530 23717 19961 19335 15736 15640 15832 16335 14998 16584 16627 17624 15804 18445 16798 17529 17877 16350 17106
"gene_8404" 82 112 139 141 144 129 219 175 183 195 57 155 122 52 170 186 194 207 145 242
"gene_8405" 974 1347 1295 1708 1259 545 598 1035 750 560 671 647 783 446 608 450 552 493 509 503
"gene_8406" 13 6 5 6 6 0 0 0 0 0 39 37 43 57 32 0 0 0 0 0
"gene_8407" 5285 4904 4303 4170 5477 4843 5708 4995 3682 5736 3677 3853 4178 3823 3498 6198 4991 5299 5193 7094
"gene_8408" 1383 1727 1666 1995 1861 2930 2687 2643 2655 2380 1813 1232 1694 1580 1488 2778 2413 2414 2409 2489
"gene_8409" 114 27 98 152 197 185 153 163 141 138 203 229 254 239 184 94 64 135 167 156
"gene_8410" 28 46 37 20 18 79 55 87 117 64 161 63 64 89 59 11 12 12 18 19
"gene_8411" 1310 1161 1361 1219 1150 1178 1147 1359 1265 1411 1581 1252 1204 1215 1463 1206 1069 1318 1033 1011
"gene_8412" 475 968 747 967 855 745 707 645 631 692 750 717 535 510 596 482 615 490 460 478
"gene_8413" 5742 3945 5647 3828 4251 3565 4016 3174 4495 4492 4350 4676 5510 4809 4163 2923 3189 2617 2594 3790
"gene_8414" 2022 2238 2318 2039 1997 1503 1644 1492 1889 1816 1795 1848 1592 1554 1223 1842 1192 1223 925 1300
"gene_8415" 213 336 230 308 237 80 99 148 86 84 378 250 242 307 321 149 327 279 156 162
"gene_8416" 11875 13761 11788 12467 12412 15379 14284 18776 15274 16463 11435 15326 10705 16541 16348 15140 14724 16008 15491 11827
"gene_8417" 1518 1532 1381 1355 1401 1426 1166 1438 1696 1555 1475 1119 1293 1260 1136 2152 2224 1426 1557 1719
"gene_8418" 5109 4711 4129 5025 5038 4466 3987 4647 5389 4755 4565 4037 4778 4689 4065 5751 5130 3816 5576 4690
"gene_8419" 524 505 409 338 626 282 281 373 296 346 332 451 384 525 628 407 389 377 376 422
"gene_8420" 967 1402 1447 1172 1623 1515 1813 1663 1252 1764 1580 1510 1378 1398 1624 1928 2063 1828 1406 2106
"gene_8421" 1033 772 668 710 683 408 397 373 529 387 361 656 526 530 404 317 454 420 518 365
"gene_8422" 720 652 1018 997 798 775 421 681 714 350 300 291 590 408 570 598 785 831 751 682
"gene_8423" 7639 7831 8247 7946 7089 6578 6516 8363 6976 7685 5136 7237 5049 5904 11103 6947 6467 10102 7525 5937
"gene_8424" 2829 1615 1707 2466 1787 2095 2051 1999 2199 1745 2731 2090 2587 2325 2541 2445 2090 1904 2168 2271
"gene_8425" 2716 3104 2210 2597 3524 2413 2567 2114 2495 3079 1808 2097 2388 1772 2628 4682 3964 4023 3803 3912
"gene_8426" 18532 16620 15828 15891 16257 23945 27529 27205 25678 28801 19466 21748 19714 15364 16450 24168 15945 18581 22632 21523
"gene_8427" 2503 1909 2116 2490 2611 2097 2079 1619 2310 2522 1852 1589 1662 1907 1987 3444 4032 3111 3483 3224
"gene_8428" 48 28 45 28 37 75 119 79 76 149 11 14 22 15 20 51 34 20 29 38
"gene_8429" 1773 2386 2053 1773 1581 2189 2027 2068 1739 1678 2019 1655 1897 1949 1830 2298 2684 2422 2881 1955
"gene_8430" 4 10 10 8 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene_8431" 131 130 87 136 69 305 295 179 194 250 37 168 54 96 135 122 158 198 136 181
"gene_8432" 11219 11537 9149 14803 11040 15153 14672 11339 13535 16151 12117 12001 14037 12312 12443 13283 10833 13380 12530 11984
"gene_8433" 897 858 960 834 872 709 775 551 794 703 734 899 742 978 569 839 803 956 831 1015
"gene_8434" 217 185 192 306 225 160 191 163 154 111 213 118 193 146 200 95 44 75 100 57
"gene_8435" 1002 876 712 747 851 1172 1059 960 1057 915 679 434 394 514 514 873 709 629 592 594
"gene_8436" 593 623 546 761 815 370 457 447 423 396 810 425 425 516 639 588 507 571 468 336
"gene_8437" 4 4 6 4 10 45 34 10 14 38 100 66 69 88 61 13 25 9 5 24
"gene_8438" 312 379 395 399 395 252 368 388 565 468 917 283 956 379 970 724 671 614 406 877
"gene_8439" 1215 1057 864 828 767 467 852 632 576 471 778 707 597 607 565 699 766 727 498 640
"gene_8440" 17 12 36 35 22 35 34 15 28 9 34 11 8 7 7 71 57 71 115 93
"gene_8441" 25 40 25 35 37 32 40 24 11 53 26 21 11 28 24 43 8 20 13 10
"gene_8442" 491 520 459 583 641 590 487 562 527 476 865 606 697 706 741 794 1039 812 762 533
"gene_8443" 6495 6537 5630 6741 5727 3752 4273 5143 5318 3901 9243 7424 7218 8070 7514 6291 6007 6557 4757 5517
"gene_8444" 4223 4724 4273 3939 3924 3105 2838 4097 3529 3526 2981 3441 3785 2939 3177 2974 2972 2648 3543 2434
"gene_8445" 1610 1280 1454 1388 1680 888 575 939 746 726 1246 1414 1305 1549 1714 1241 1563 1314 1096 1327
"gene_8446" 2510 2415 2566 2417 2313 2332 2185 2258 1757 1868 1558 2341 1898 2363 2147 1556 1404 981 1344 1382
"gene_8447" 6385 5989 6678 5758 6214 5304 6194 5726 5706 5554 6189 6695 6350 5842 6818 6656 5352 4846 5779 5032
"gene_8448" 597 498 595 233 552 305 232 283 347 324 533 319 307 469 480 375 368 361 404 470
"gene_8449" 32 77 67 56 42 160 140 161 98 134 140 146 191 101 148 209 257 140 231 187
"gene_8450" 2671 2626 2730 2597 2746 1937 1631 2011 1980 1997 2304 2430 1774 2551 2797 2521 2613 2512 2161 2222
"gene_8451" 130 96 138 85 155 51 54 42 51 32 75 63 95 50 55 46 14 18 47 15
"gene_8452" 259 487 260 526 422 212 224 176 169 178 242 152 137 188 164 540 513 450 342 279
"gene_8453" 1050 889 920 1182 1564 1513 1579 1553 1780 1636 1068 672 497 596 608 1311 1070 1433 1144 1356
"gene_8454" 4094 4229 3520 3899 4362 3608 4438 4099 4570 4211 4154 3238 3660 2850 3579 4843 6465 5749 6496 6402
"gene_8455" 6208 5676 7186 7873 7109 5853 9927 6849 5731 5814 5239 6776 6515 7046 6249 5430 4900 6290 7041 3738
"gene_8456" 1434 1393 1477 1588 1045 1599 2055 1915 1678 1696 902 1673 1128 1227 2044 1881 1525 1646 1694 1668
"gene_8457" 2494 3272 2696 3293 1869 4531 4600 2781 3916 3551 3037 3080 2847 3089 2248 3033 2349 2955 2565 2304
"gene_8458" 529 887 688 717 1233 616 660 822 776 779 443 271 320 226 376 454 447 465 294 409
"gene_8459" 841 1095 1077 701 965 1508 1577 1506 1696 1306 788 657 944 734 699 1173 1512 1527 1302 1481
"gene_8460" 3340 3473 3195 3057 3018 4877 4251 3950 5711 4954 4543 4602 4276 5060 4635 3109 4818 3241 3556 3500
"gene_8461" 289 266 287 220 255 272 291 260 322 246 611 652 661 769 797 286 247 318 305 338
"gene_8462" 1098 766 1027 1124 851 556 532 541 636 549 744 833 766 645 649 611 610 454 521 548
"gene_8463" 822 846 845 913 771 107 281 148 226 170 600 691 511 600 601 400 533 550 505 537
"gene_8464" 134 171 151 196 130 207 139 257 232 162 225 172 178 274 100 180 181 182 226 154
"gene_8465" 4062 4841 3123 4208 3922 3176 2850 3965 2393 3330 3747 3962 3992 3925 4269 5338 5928 5101 5133 5158
"gene_8466" 626 516 722 511 892 338 438 555 458 1102 306 345 266 305 256 350 377 353 467 389
"gene_8467" 1809 1684 1785 1828 1877 1483 2269 1747 1707 1530 2546 2048 1963 1828 2016 1551 1338 1460 1492 1468
"gene_8468" 1160 1064 1218 897 1168 919 936 963 985 833 1248 1085 1235 1119 1122 380 849 484 559 794
"gene_8469" 1349 1235 1123 837 1059 1252 927 741 749 875 449 516 483 426 552 972 1331 1173 1033 1399
"gene_8470" 2725 3091 3439 2695 1915 3793 4564 4220 4077 4087 3377 4105 3366 2924 4118 3638 3626 3423 3981 3612
"gene_8471" 1294 1179 1186 1188 1043 1019 988 1017 1060 1054 755 749 726 870 773 804 1098 884 1013 901
"gene_8472" 201 199 113 121 90 149 139 239 168 176 31 23 29 38 29 61 31 67 40 30
"gene_8473" 0 0 0 0 0 9 16 7 17 17 7 10 29 10 16 9 1 15 2 5
"gene_8474" 3291 2868 2569 2670 3019 3785 3575 4101 3575 3520 3491 3716 2876 2318 3522 1459 1900 2075 1700 1732
"gene_8475" 18 22 9 19 17 9 2 3 1 15 2 0 7 13 1 85 76 47 75 84
"gene_8476" 871 1038 584 585 966 714 739 531 606 598 434 294 257 351 504 587 560 373 514 606
"gene_8477" 210 293 245 294 226 153 183 107 166 262 215 209 148 182 193 270 481 581 319 262
"gene_8478" 12 21 61 6 17 58 42 80 62 15 55 73 36 126 14 86 122 81 91 80
"gene_8479" 7233 10177 8959 6938 7474 7067 9646 7959 7284 8327 7390 7695 8214 11955 6862 9603 10620 10308 9699 9604
