"TP1_1" "TP1_2" "TP2_1" "TP2_2" "TP3_1" "TP3_2" "TP4_1" "TP4_2"
"gene_11213" 1831 2007 1937 1451 1447 1748 3228 2994
"gene_11214" 8879 8599 5704 5200 5740 6571 9729 9378
"gene_11215" 571 378 538 756 455 470 613 823
"gene_11216" 882 1146 674 814 1193 933 871 1181
"gene_11217" 11149 8064 9454 7944 7688 8190 6789 7933
"gene_11218" 743 606 957 646 366 371 309 360
"gene_11219" 5201 3608 3346 2836 3730 4469 4720 4926
"gene_11220" 578 636 613 732 406 416 289 289
"gene_11221" 0 0 6 5 34 22 14 6
"gene_11222" 125 96 106 66 300 188 182 130
"gene_11223" 24 22 19 31 32 51 246 127
"gene_11224" 148 183 561 516 372 283 81 132
"gene_11225" 735 755 618 300 1190 1094 367 242
"gene_11226" 304 364 448 341 365 308 618 333
"gene_11227" 87 53 62 32 39 28 45 12
"gene_11228" 337 354 582 578 603 760 890 761
"gene_11229" 984 1187 1297 1044 1419 1659 1547 1654
"gene_11230" 1127 1136 1015 860 1213 1210 1122 1122
"gene_11231" 743 816 657 717 830 860 370 529
"gene_11232" 884 936 822 1490 893 1024 677 1023
"gene_11233" 561 822 395 724 891 643 1439 1181
"gene_11234" 273 605 410 342 588 325 362 476
"gene_11235" 1752 1811 1858 1081 1356 1538 2053 1577
"gene_11236" 414 285 118 128 159 104 83 61
"gene_11237" 9088 8372 15680 12291 12789 9053 11645 17518
"gene_11238" 3013 2733 3664 3928 2104 3096 2403 2288
"gene_11239" 8265 8624 9952 8464 7920 9571 9521 9354
"gene_11240" 597 532 505 377 290 212 501 693
"gene_11241" 1166 1256 889 794 985 1361 1427 1566
"gene_11242" 0 0 8 24 19 7 4 3
"gene_11243" 782 902 897 1331 1264 1175 1766 1500
"gene_11244" 263 162 217 150 146 112 72 83
"gene_11245" 181 214 118 211 210 170 107 183
"gene_11246" 622 652 975 1118 906 1193 1572 1115
"gene_11247" 2295 2317 3606 3047 3094 3079 3894 3844
"gene_11248" 2600 2885 3580 4458 3896 3992 3204 4562
"gene_11249" 2398 2687 2463 3198 1446 1838 2839 2612
"gene_11250" 201 140 49 85 145 155 329 185
"gene_11251" 936 790 1184 1060 978 1086 1307 1377
"gene_11252" 559 517 470 389 828 507 396 577
"gene_11253" 2938 2947 2125 3360 2540 2737 3818 2980
"gene_11254" 2392 2267 3175 2274 3004 2622 2758 2490
"gene_11255" 383 397 489 271 413 414 420 365
"gene_11256" 88 82 438 353 371 511 347 417
"gene_11257" 2515 3700 2857 2219 1427 2962 1516 1225
"gene_11258" 336 318 526 359 539 631 195 201
"gene_11259" 319 240 596 336 461 576 393 549
"gene_11260" 1104 948 1050 1043 772 1016 1124 1049
"gene_11261" 603 906 395 284 782 914 926 729
"gene_11262" 3329 3314 5263 5418 2320 2335 4322 3866
"gene_11263" 3202 3590 2738 2001 1958 3898 3465 4299
"gene_11264" 3309 2927 2861 3171 2998 2925 2165 2572
"gene_11265" 13 10 64 110 89 57 36 64
"gene_11266" 311 273 383 289 480 296 511 348
"gene_11267" 349 425 419 638 239 378 276 254
"gene_11268" 362 383 280 271 455 444 228 289
"gene_11269" 0 0 9 4 28 6 0 0
"gene_11270" 6 14 5 0 28 9 6 7
"gene_11271" 963 991 934 751 492 563 1077 1018
"gene_11272" 2914 2652 2501 2821 1333 1293 2114 2120
"gene_11273" 40 46 240 73 92 72 29 50
"gene_11274" 80 36 21 10 9 12 24 47
"gene_11275" 5533 4993 6666 7435 4863 6150 5122 6991
"gene_11276" 8595 8265 6470 5962 8874 9745 7934 9139
"gene_11277" 17 5 14 14 51 61 16 22
"gene_11278" 9 7 21 10 33 54 28 20
"gene_11279" 119 124 69 67 79 100 143 230
"gene_11280" 868 1105 1777 1899 1191 1213 696 667
"gene_11281" 1759 1162 1274 1100 1487 1697 1274 1157
"gene_11282" 821 784 582 471 779 751 809 806
"gene_11283" 15 25 69 50 17 35 50 46
"gene_11284" 5875 7467 10782 9647 8567 9165 7794 9025
"gene_11285" 45 44 62 28 31 26 34 22
"gene_11286" 884 842 1376 740 648 920 618 614
"gene_11287" 115 209 195 217 231 215 316 480
"gene_11288" 258 278 237 221 136 161 135 198
"gene_11289" 776 1252 1204 975 3013 3693 688 735
"gene_11290" 106 102 193 319 22 64 28 26
"gene_11291" 988 1078 593 768 1365 1121 1215 1391
"gene_11292" 9 4 22 16 14 2 11 17
"gene_11293" 49 63 64 95 52 31 39 49
"gene_11294" 1392 1115 1145 1040 1144 830 1533 1132
"gene_11295" 213 173 128 125 359 339 172 72
"gene_11296" 9135 9163 6506 9001 13274 11288 9785 10524
"gene_11297" 98 129 97 79 80 85 69 92
"gene_11298" 3323 3117 2938 2325 3197 3175 3543 2679
"gene_11299" 5544 5683 8310 6333 7236 3970 3762 7174
"gene_11300" 73 30 124 112 129 107 361 237
"gene_11301" 42 40 19 27 73 84 41 49
"gene_11302" 1803 1659 3033 2874 2379 2212 2199 3213
"gene_11303" 11 29 50 112 68 85 46 36
"gene_11304" 8640 5320 7543 7334 8792 9631 7052 7766
"gene_11305" 7749 7720 7048 6848 6358 8595 7586 6334
"gene_11306" 8321 9017 4540 3979 3516 5398 5546 4170
"gene_11307" 414 396 594 668 482 440 418 465
"gene_11308" 464 521 559 578 228 192 202 352
"gene_11309" 3954 3550 4067 4044 4406 3702 4037 3348
"gene_11310" 1808 1736 2902 2440 1586 1467 2057 2279
"gene_11311" 1867 1648 2592 2261 1892 1039 1714 1590
"gene_11312" 88 106 92 109 102 145 106 66
"gene_11313" 12 9 16 20 109 50 86 83
"gene_11314" 10196 8209 7572 11967 8811 7785 6436 6302
"gene_11315" 0 0 7 1 15 11 48 9
"gene_11316" 3630 3769 4188 3037 2787 3127 3298 2910
"gene_11317" 614 533 631 520 417 456 629 848
"gene_11318" 191 171 445 459 229 226 345 285
"gene_11319" 92 200 100 77 160 198 101 121
"gene_11320" 684 950 969 1117 1021 1122 1566 1793
"gene_11321" 4 6 16 24 6 10 4 2
"gene_11322" 181 196 185 155 95 93 93 73
"gene_11323" 6 18 96 100 56 33 35 46
"gene_11324" 49 35 70 60 97 114 66 62
"gene_11325" 121 85 145 202 372 399 220 177
"gene_11326" 3362 2844 3486 3600 3013 3085 4922 3841
"gene_11327" 2322 2823 2301 2542 4301 3116 2605 2594
"gene_11328" 3495 3954 1796 2209 2559 2658 2018 1389
"gene_11329" 1128 1202 556 845 682 599 1315 1594
"gene_11330" 0 0 29 23 26 11 0 0
"gene_11331" 2210 1871 1633 1747 1118 1449 1746 2007
"gene_11332" 2431 2098 2157 1846 3756 3282 3271 4072
"gene_11333" 1704 1553 1996 1465 1250 1476 1235 2267
"gene_11334" 8360 10432 9874 8330 5946 8275 9299 9312
"gene_11335" 9 7 71 68 149 127 146 101
"gene_11336" 1371 1593 2115 1884 1301 1734 1669 1780
"gene_11337" 414 481 388 172 524 498 254 606
"gene_11338" 2240 2175 2317 1942 2152 2528 1926 2264
"gene_11339" 2723 3549 3235 1948 2195 2495 2962 1996
"gene_11340" 5 4 7 0 0 0 0 0
"gene_11341" 7772 10613 8472 9314 5301 7219 9078 9113
"gene_11342" 2196 3061 1759 2210 2092 2661 3294 2639
"gene_11343" 3581 2755 2373 2649 2845 2954 2363 1907
"gene_11344" 3576 3125 2063 2136 2452 3933 3384 3949
"gene_11345" 1044 459 909 981 487 701 889 751
"gene_11346" 286 319 197 294 289 417 359 430
"gene_11347" 3959 3109 2945 2658 1086 1356 1630 1540
"gene_11348" 99 121 98 63 25 64 83 43
"gene_11349" 378 423 796 694 599 988 356 346
"gene_11350" 488 469 614 568 989 1194 456 733
"gene_11351" 2175 2281 1832 1767 1963 2321 1196 1475
"gene_11352" 227 176 136 137 200 134 78 128
"gene_11353" 5047 4149 2736 2732 4430 3817 5645 4978
"gene_11354" 93 89 31 16 30 36 119 78
"gene_11355" 1375 1416 1086 745 812 612 614 458
"gene_11356" 1670 1843 730 980 1439 1482 1316 1743
"gene_11357" 1325 1119 1757 1360 855 1496 1389 2040
"gene_11358" 1648 1852 2110 1723 1349 1589 2593 2190
"gene_11359" 212 144 454 208 133 99 27 147
"gene_11360" 305 250 580 581 674 759 683 714
"gene_11361" 237 335 591 255 309 255 425 309
"gene_11362" 9 2 8 9 6 52 61 41
"gene_11363" 141 119 152 135 104 33 188 126
"gene_11364" 134 98 114 65 88 85 288 185
"gene_11365" 186 231 263 356 219 181 216 295
"gene_11366" 6157 5145 4505 4385 4829 5104 9535 9149
"gene_11367" 138 146 184 146 154 253 44 48
"gene_11368" 32 42 7 27 37 42 33 17
"gene_11369" 215 227 141 79 178 286 203 219
"gene_11370" 2303 2408 3261 2980 3447 3350 2191 2678
"gene_11371" 1431 1376 1565 1451 1404 1373 1644 1425
"gene_11372" 956 918 957 1395 691 812 850 988
"gene_11373" 1609 1303 2357 2504 2480 3660 3458 3324
"gene_11374" 76 91 86 125 26 42 226 176
"gene_11375" 624 588 518 496 611 534 570 427
"gene_11376" 2291 2566 4937 3477 3215 2161 2277 2147
"gene_11377" 1524 1664 2812 2463 1299 1111 2292 2861
"gene_11378" 101 98 63 116 111 182 72 81
"gene_11379" 78 100 191 100 89 126 183 103
"gene_11380" 4475 4136 3769 3420 2110 2726 2033 2640
"gene_11381" 1299 1304 1369 1279 1547 1574 2089 2028
"gene_11382" 1893 1959 2620 2409 1871 1807 1441 1455
"gene_11383" 1007 725 1160 1213 902 463 743 1096
"gene_11384" 144 49 82 85 156 162 229 138
"gene_11385" 2101 1639 2159 1666 2024 2299 1385 1361
"gene_11386" 68 42 2 16 42 92 0 0
"gene_11387" 8 13 25 26 18 20 11 22
"gene_11388" 12039 14339 13107 10669 10242 10395 12664 10050
"gene_11389" 0 0 3 5 4 4 8 22
"gene_11390" 258 332 148 168 72 123 315 247
"gene_11391" 1698 1660 1283 959 1656 1514 1369 1121
"gene_11392" 215 221 191 174 202 199 327 514
"gene_11393" 101 111 139 91 251 304 252 245
"gene_11394" 11 11 34 31 6 3 20 7
"gene_11395" 3919 3635 2939 3415 3609 3402 3859 3272
"gene_11396" 136 144 151 106 51 71 84 81
"gene_11397" 13369 11223 10010 10040 15993 15668 11993 14893
"gene_11398" 9739 7710 5252 4717 7388 6560 4966 5024
"gene_11399" 856 850 1428 1169 718 909 530 896
"gene_11400" 254 310 263 315 336 244 423 331
"gene_11401" 1997 2257 2438 2191 2054 2263 1599 1738
"gene_11402" 7960 8242 7523 6552 7323 7822 8760 8464
"gene_11403" 36 35 102 41 92 66 135 85
"gene_11404" 5547 5734 2939 3568 5240 4216 3703 3872
"gene_11405" 112 172 100 45 95 87 149 189
"gene_11406" 1909 3950 2983 3816 1570 2193 2696 3081
"gene_11407" 1416 1187 938 1127 1578 1416 1244 1489
"gene_11408" 2337 2374 4056 3430 3753 2859 3003 2572
"gene_11409" 1242 840 600 545 660 1197 721 1022
"gene_11410" 262 308 848 635 472 338 528 689
"gene_11411" 75 61 88 18 75 121 74 105
"gene_11412" 648 843 923 975 575 461 2081 1947
"gene_11413" 204 282 256 342 291 183 457 359
"gene_11414" 5473 7656 4792 5253 5348 3203 4852 4853
"gene_11415" 563 760 773 692 528 523 1164 1039
"gene_11416" 1140 1714 910 861 956 1933 1199 1226
"gene_11417" 770 1064 618 793 1136 1207 878 789
"gene_11418" 738 632 561 795 706 528 940 833
"gene_11419" 185 258 209 117 236 383 418 444
"gene_11420" 87 144 175 291 200 180 302 206
"gene_11421" 253 266 1075 1315 435 285 119 75
"gene_11422" 4918 4502 3884 4238 4069 3961 4641 4819
"gene_11423" 3190 3235 4388 4012 2709 2705 2412 3134
"gene_11424" 129 154 124 196 287 126 381 134
"gene_11425" 59 56 65 87 28 18 92 94
"gene_11426" 3625 4285 4859 3560 4272 2636 3917 4095
"gene_11427" 1800 1203 1081 1068 2373 2494 2069 1303
"gene_11428" 2 5 102 100 75 89 49 50
"gene_11429" 236 288 179 227 171 155 281 194
"gene_11430" 61 49 64 53 100 41 31 34
"gene_11431" 452 643 530 680 483 824 344 663
"gene_11432" 2203 3508 2648 2463 2543 2060 2270 2063
"gene_11433" 2765 1872 2051 2140 2335 2124 2736 2896
"gene_11434" 1066 1206 1733 1681 1321 1248 745 852
"gene_11435" 3404 3304 2917 2061 4525 4001 4767 4098
"gene_11436" 2029 3353 2106 1960 2385 1854 1799 1915
"gene_11437" 2709 3205 2842 3295 2935 2404 2286 3029
"gene_11438" 2543 2708 3460 3484 2479 2461 3162 1798
"gene_11439" 745 575 402 314 400 539 710 806
"gene_11440" 20 20 25 17 46 81 35 84
"gene_11441" 0 0 45 75 39 28 0 0
"gene_11442" 1448 2630 3131 2747 3938 4292 2282 2116
"gene_11443" 412 485 204 283 189 247 315 466
"gene_11444" 24 8 82 51 36 17 20 7
"gene_11445" 803 796 836 832 712 739 1004 672
"gene_11446" 893 543 424 357 515 830 560 722
"gene_11447" 12 33 0 0 12 13 5 1
"gene_11448" 663 619 728 696 456 853 1143 789
"gene_11449" 196 208 333 436 130 217 221 205
"gene_11450" 1156 1498 1863 1961 1722 1739 1859 1650
"gene_11451" 537 525 702 659 342 267 379 471
"gene_11452" 869 314 1267 1223 545 1032 642 955
"gene_11453" 7 12 19 8 12 4 16 12
"gene_11454" 147 206 338 393 146 164 283 233
"gene_11455" 138 159 273 401 265 325 266 241
"gene_11456" 1703 1868 1524 1272 1785 1179 2600 1818
"gene_11457" 539 484 752 500 815 652 590 662
"gene_11458" 4753 6254 7422 8722 4906 5393 4407 4646
"gene_11459" 3970 3387 4448 3907 3117 3681 4267 4393
"gene_11460" 64 92 271 267 87 92 110 78
"gene_11461" 55 49 49 61 37 28 104 55
"gene_11462" 3175 2626 4569 4371 3446 2435 2173 2284
"gene_11463" 228 127 35 54 35 19 65 61
"gene_11464" 1212 1249 1550 1097 605 975 1231 695
"gene_11465" 975 1035 1650 1707 1185 1001 1026 839
"gene_11466" 141 314 139 143 477 282 346 426
"gene_11467" 375 284 347 516 402 506 483 404
"gene_11468" 199 144 145 113 301 258 159 106
"gene_11469" 0 0 32 22 4 3 0 0
"gene_11470" 1422 1145 850 868 963 769 1008 729
"gene_11471" 7 1 0 10 0 0 0 0
"gene_11472" 1220 894 1179 696 2298 1792 1256 1057
"gene_11473" 2 4 0 0 0 26 37 22
"gene_11474" 858 959 278 391 598 686 569 629
"gene_11475" 708 493 502 581 391 943 657 1034
"gene_11476" 2162 2327 3465 2922 2460 2921 3208 3193
"gene_11477" 2927 2581 2486 2547 4309 4954 3285 3444
"gene_11478" 1451 1975 1535 1454 1038 1743 1826 1528
"gene_11479" 1016 690 781 914 575 658 577 693
"gene_11480" 219 246 319 226 113 117 78 64
"gene_11481" 399 336 665 671 330 320 541 485
"gene_11482" 419 400 376 279 208 194 170 402
"gene_11483" 217 217 227 178 147 195 107 80
"gene_11484" 2690 3465 2520 3022 3848 2744 4092 5628
"gene_11485" 7599 9143 6585 6468 6071 5841 11116 8881
"gene_11486" 11 16 134 148 57 89 47 26
"gene_11487" 109 135 98 95 205 158 62 123
"gene_11488" 2540 3015 2434 2855 2697 1539 986 1551
"gene_11489" 534 404 493 439 451 271 372 325
"gene_11490" 7319 6847 5968 5343 9804 8158 6996 6983
"gene_11491" 306 415 206 86 312 316 357 347
"gene_11492" 2867 3095 2869 1952 3271 2425 2842 3514
"gene_11493" 3449 2637 2455 2234 2697 2790 2043 2139
"gene_11494" 53 112 30 39 31 29 96 97
"gene_11495" 2577 2389 4476 3253 3514 3434 5087 6015
"gene_11496" 2839 3625 4051 3835 4354 3866 5768 4383
"gene_11497" 6127 7151 2578 3403 4884 3404 3733 3059
"gene_11498" 539 831 878 537 715 744 565 756
"gene_11499" 246 179 213 207 64 91 438 218
"gene_11500" 167 156 146 175 126 182 69 125
"gene_11501" 175 183 250 295 446 143 105 53
"gene_11502" 561 629 690 387 691 681 401 428
"gene_11503" 24 30 16 19 29 32 0 0
"gene_11504" 398 447 553 442 633 756 424 724
"gene_11505" 2766 2987 2826 2576 3745 3439 2521 1349
"gene_11506" 816 638 264 432 854 709 694 889
"gene_11507" 225 289 58 186 25 70 249 272
"gene_11508" 889 1002 1579 1622 948 970 1244 1565
"gene_11509" 6037 4562 4635 3850 2740 3442 4041 3750
"gene_11510" 2163 2789 2810 2601 3224 3644 2763 3464
"gene_11511" 17425 14500 15867 17593 13970 10496 18975 13669
"gene_11512" 62 46 97 21 236 125 32 71
"gene_11513" 421 594 423 623 508 787 790 560
"gene_11514" 5631 8889 8929 9729 9157 7972 13597 13032
"gene_11515" 2221 2233 3377 3546 2455 2298 1843 1814
"gene_11516" 2740 2008 4448 3373 2629 2908 2224 2518
"gene_11517" 9102 9096 10149 9337 7979 9639 5852 5647
"gene_11518" 4833 4080 5366 5083 4671 3704 4596 4281
"gene_11519" 972 1168 1483 1427 976 891 1635 1092
"gene_11520" 7699 8681 13087 9460 9208 13346 8079 8657
"gene_11521" 68 91 130 207 33 46 20 35
"gene_11522" 164 194 84 230 87 43 189 181
"gene_11523" 4055 5321 3324 3389 5883 5428 5127 3662
"gene_11524" 13680 13736 23254 16848 14594 15330 16321 14966
"gene_11525" 3172 2881 3444 3661 4506 3953 4092 2718
"gene_11526" 2864 2460 1692 1280 1651 1341 1931 1755
"gene_11527" 340 283 436 324 586 711 296 289
"gene_11528" 1206 1305 4183 3735 2448 2323 4583 4122
"gene_11529" 325 329 681 495 585 423 560 666
"gene_11530" 0 0 16 13 3 7 4 5
"gene_11531" 4850 3817 4854 5543 5752 6898 4523 4938
"gene_11532" 2896 2705 2120 2104 2528 2837 2858 2493
"gene_11533" 1054 871 751 633 1272 1268 1680 1383
"gene_11534" 982 880 954 787 797 479 498 305
"gene_11535" 61 59 38 14 19 17 22 83
"gene_11536" 67 150 473 510 136 99 371 349
"gene_11537" 3423 3276 2673 3304 3063 2791 2734 3683
"gene_11538" 15839 17571 15419 16158 11972 10562 15913 18537
"gene_11539" 1156 2090 2118 2033 2765 2205 2842 2170
"gene_11540" 2920 3094 1651 1780 1332 1058 2353 2347
"gene_11541" 1147 867 1139 1325 1369 1613 904 982
"gene_11542" 848 899 831 561 467 512 525 566
"gene_11543" 52 88 87 64 117 156 78 107
"gene_11544" 194 91 28 15 22 75 128 95
"gene_11545" 4106 5034 4792 4613 4838 5398 5187 6219
"gene_11546" 5059 5448 4278 3836 5265 5014 5131 4960
"gene_11547" 14 12 6 10 0 0 6 4
"gene_11548" 1880 1640 1388 2300 1736 2017 2345 2075
"gene_11549" 1424 693 551 1032 1493 1111 524 495
"gene_11550" 115 164 260 329 257 135 238 276
"gene_11551" 384 352 670 794 202 400 755 979
"gene_11552" 6 1 0 0 6 2 0 0
"gene_11553" 21 134 54 95 68 58 39 52
"gene_11554" 89 16 35 64 60 64 188 181
"gene_11555" 4 5 19 4 4 6 0 0
"gene_11556" 984 1136 1561 1091 1399 1460 1666 1478
"gene_11557" 3221 2400 1790 1965 1371 1486 2402 2419
"gene_11558" 3385 3406 2967 3273 3516 3605 3376 3782
"gene_11559" 390 357 243 299 217 140 191 172
"gene_11560" 5078 4308 3243 3760 4750 4879 2680 4007
"gene_11561" 24 7 18 24 17 1 0 0
"gene_11562" 1135 1850 866 963 1651 1187 1176 1332
"gene_11563" 10 8 2 14 9 28 112 167
"gene_11564" 5837 5887 9346 10540 6246 8872 6931 5097
"gene_11565" 377 411 294 270 447 578 444 547
"gene_11566" 880 1311 1504 1051 1063 786 860 872
"gene_11567" 724 899 1014 533 1447 1022 850 713
"gene_11568" 1821 1650 1551 1599 2763 3304 1403 1169
"gene_11569" 1774 1733 1422 1062 957 885 1178 945
"gene_11570" 99 154 131 174 100 146 263 137
"gene_11571" 256 227 126 159 223 198 360 380
"gene_11572" 26 36 125 132 80 114 65 110
"gene_11573" 383 184 89 142 228 254 203 271
"gene_11574" 888 1881 1731 1641 769 727 355 204
"gene_11575" 5 9 3 13 44 16 56 32
"gene_11576" 132 215 570 556 455 456 122 169
"gene_11577" 128 106 69 107 78 61 322 249
"gene_11578" 983 1367 3604 3730 2187 1677 2703 2932
"gene_11579" 34 19 0 0 0 0 3 10
"gene_11580" 216 179 190 213 292 204 155 205
"gene_11581" 1183 1125 514 599 947 843 944 1366
"gene_11582" 0 0 0 0 9 6 1 1
"gene_11583" 1 0 14 10 15 18 19 6
"gene_11584" 106 142 454 383 360 297 94 170
"gene_11585" 439 402 346 410 726 746 723 792
"gene_11586" 67 58 4 1 33 25 8 3
"gene_11587" 628 546 604 882 481 562 775 422
"gene_11588" 25 15 67 27 160 76 46 65
"gene_11589" 3045 2567 2586 2116 1860 1535 3403 3647
"gene_11590" 1733 1470 2396 2041 2237 2171 2098 2597
"gene_11591" 1615 1511 806 660 1509 1257 1462 1132
"gene_11592" 42 15 0 0 71 70 33 34
"gene_11593" 418 448 545 564 477 306 288 366
"gene_11594" 5897 5065 5372 5286 4470 4960 5115 4970
"gene_11595" 366 612 583 381 461 224 493 500
"gene_11596" 76 59 81 54 16 16 44 31
"gene_11597" 770 719 968 1021 846 1134 623 799
"gene_11598" 1 7 0 0 1 13 17 32
"gene_11599" 3096 3810 3397 3253 3980 4675 3283 3726
"gene_11600" 25 24 11 12 19 35 43 48
"gene_11601" 16 57 88 62 72 85 9 11
"gene_11602" 1 6 8 6 30 57 84 63
"gene_11603" 8655 6589 8364 9112 11567 10283 7784 7913
"gene_11604" 3271 3850 3761 3702 2308 2271 3193 4353
"gene_11605" 8259 4730 8628 7654 7477 6370 8848 9329
"gene_11606" 2209 2398 2802 2265 1864 1657 2587 2589
"gene_11607" 1535 2557 2569 2595 1775 2542 3550 2522
"gene_11608" 4 10 26 14 0 0 1 8
"gene_11609" 182 319 341 294 164 240 265 177
"gene_11610" 1763 1212 816 806 1088 1174 1794 1556
"gene_11611" 273 201 120 96 78 107 102 134
"gene_11612" 1491 2172 1148 1039 1504 1115 2003 1702
"gene_11613" 2255 2127 2256 2504 1211 1866 2826 2577
"gene_11614" 1423 768 628 517 918 1133 493 753
"gene_11615" 141 293 155 195 98 96 98 162
"gene_11616" 2450 1981 2520 2959 2091 2937 1996 2406
"gene_11617" 3 3 15 2 31 20 0 0
"gene_11618" 1285 450 700 643 377 454 857 692
"gene_11619" 5903 6743 4555 4282 5898 5545 3121 2609
"gene_11620" 2191 1863 2311 1985 909 1259 2023 2222
"gene_11621" 10 12 26 29 2 4 14 10
"gene_11622" 202 192 257 311 409 342 280 487
"gene_11623" 5138 6616 4959 4779 7926 7621 5990 6654
"gene_11624" 462 604 363 275 587 701 455 403
"gene_11625" 881 844 1225 753 1024 706 660 724
"gene_11626" 3 9 3 9 0 0 0 0
"gene_11627" 842 940 1251 1375 1145 920 1582 1674
"gene_11628" 2105 2067 2161 2180 3331 2582 1750 1934
"gene_11629" 104 70 108 72 104 83 96 44
"gene_11630" 176 111 254 275 282 178 200 209
"gene_11631" 22 19 6 7 0 3 16 12
"gene_11632" 74 143 24 37 51 47 12 1
"gene_11633" 205 121 70 77 296 196 163 109
"gene_11634" 29 22 14 17 4 0 0 0
"gene_11635" 2650 2174 2645 2029 2321 2248 1685 2193
"gene_11636" 197 194 164 142 186 186 68 140
"gene_11637" 478 527 512 541 417 367 669 658
"gene_11638" 191 154 95 20 110 126 183 202
"gene_11639" 260 382 139 303 566 530 415 501
"gene_11640" 5829 5317 5385 4626 4315 3843 4970 5208
"gene_11641" 29 12 20 36 8 1 99 81
"gene_11642" 1232 1135 1208 1632 1101 1068 1296 1475
"gene_11643" 1512 1541 1235 907 926 923 1952 2545
"gene_11644" 329 363 211 171 244 245 354 323
"gene_11645" 40 84 18 92 47 49 21 32
"gene_11646" 72 106 113 125 185 233 267 365
"gene_11647" 383 408 462 371 390 300 734 522
"gene_11648" 883 936 1256 1233 1928 2171 988 1232
"gene_11649" 13049 13794 15361 12888 10689 13742 13181 12093
"gene_11650" 9 38 20 7 7 38 22 86
"gene_11651" 65 36 40 85 46 98 85 52
"gene_11652" 139 80 278 112 124 135 150 186
"gene_11653" 3073 2367 2222 2568 3196 3777 2635 2758
"gene_11654" 790 811 811 777 856 875 997 981
"gene_11655" 11 19 32 40 20 25 20 36
"gene_11656" 1400 1390 1090 728 998 1649 789 1053
"gene_11657" 8553 7371 7126 8060 5255 5006 6357 7879
"gene_11658" 466 439 254 69 450 522 252 290
"gene_11659" 1449 1412 2125 1374 2237 2065 1847 1779
"gene_11660" 70 51 129 128 62 106 217 131
"gene_11661" 1224 969 637 666 890 710 808 818
"gene_11662" 395 471 217 367 178 261 353 306
"gene_11663" 67 70 59 30 68 83 131 49
"gene_11664" 1467 1694 2576 2634 2087 1780 2753 3373
"gene_11665" 30 8 0 10 18 18 4 10
"gene_11666" 3143 3239 2407 2673 2428 2765 2114 2888
"gene_11667" 19 23 185 239 177 227 269 245
"gene_11668" 0 0 14 27 9 2 0 0
"gene_11669" 48 180 196 200 245 219 285 267
"gene_11670" 7 4 0 0 32 27 12 8
"gene_11671" 154 139 159 91 144 232 248 127
"gene_11672" 352 371 162 156 262 227 184 246
"gene_11673" 703 701 913 959 766 782 1326 955
"gene_11674" 184 346 137 100 198 239 185 274
"gene_11675" 26 21 15 85 8 2 27 102
"gene_11676" 1724 2206 2198 1970 1626 1464 2550 2145
"gene_11677" 3 2 1 28 1 1 0 2
"gene_11678" 448 467 101 385 420 271 297 231
"gene_11679" 1036 1129 1589 1332 2179 1980 1568 1526
"gene_11680" 590 409 871 787 731 530 587 840
"gene_11681" 3613 3843 2090 1658 2332 2547 1111 1595
"gene_11682" 1910 1277 1363 1217 1266 1241 1461 1771
"gene_11683" 637 967 1018 1048 973 980 587 478
"gene_11684" 24 26 18 28 19 50 0 0
"gene_11685" 1067 854 1187 1257 794 1046 735 695
"gene_11686" 1436 1443 2913 2611 2346 2430 2171 1607
"gene_11687" 0 0 16 8 0 2 0 0
"gene_11688" 2735 2631 2180 2194 2863 3211 3250 2464
"gene_11689" 213 320 224 293 430 536 777 731
"gene_11690" 3220 2916 3355 4001 1741 2309 1582 1619
"gene_11691" 22 79 9 32 77 38 22 26
"gene_11692" 562 683 395 377 184 354 328 513
"gene_11693" 3612 4060 3119 2384 2655 3123 2598 4533
"gene_11694" 1831 2129 1568 1592 2558 2320 2552 2278
"gene_11695" 1289 1483 1171 1679 2038 2276 1643 1600
"gene_11696" 119 252 88 256 120 77 154 265
"gene_11697" 277 390 350 343 656 516 602 699
"gene_11698" 0 0 15 8 5 6 13 2
"gene_11699" 3291 2057 2706 2541 3220 2491 2406 2511
"gene_11700" 564 604 560 676 1378 1240 950 672
"gene_11701" 1075 1192 1126 1217 1165 1385 1304 1083
"gene_11702" 165 235 211 248 178 249 256 384
"gene_11703" 321 457 178 189 62 85 23 70
"gene_11704" 374 507 378 286 492 698 526 491
"gene_11705" 159 225 111 269 252 219 270 296
"gene_11706" 1680 1076 1173 1188 1173 1358 952 910
"gene_11707" 18938 20360 33454 21764 17493 18641 21132 20404
"gene_11708" 955 1106 1637 2028 1669 1550 1321 1445
"gene_11709" 132 92 74 44 69 43 216 198
"gene_11710" 39 76 129 100 70 74 89 59
"gene_11711" 2 9 15 8 30 24 98 76
"gene_11712" 2715 2512 4078 3547 3175 2775 3275 3554
"gene_11713" 82 68 167 175 98 178 159 188
"gene_11714" 119 123 62 41 135 118 136 96
"gene_11715" 9020 10130 8914 7487 7052 7579 12717 8963
"gene_11716" 1001 1239 1102 1092 560 532 1124 776
"gene_11717" 11352 14223 14618 12583 8864 8802 12087 10038
"gene_11718" 0 0 26 7 55 55 13 50
"gene_11719" 3729 4770 4786 5818 5849 5053 6233 5675
"gene_11720" 897 832 1517 1018 1362 1220 1469 1457
"gene_11721" 1044 791 573 621 715 861 1173 463
"gene_11722" 45 93 77 94 36 22 29 10
